Filename             = m851_079.cnv
Shipname             = Meteor
Cruise               = m85/1
Station              = 807
Profile              = 79
WaterDepth           = 3366
Date                 = 2011/07/21
Time                 = 14:43
Latitude             = 54 50.25 N
Longitude            = 043 27.46 W
Columns              = p:t:pt:s:sth:o
  91.0  4.5991  4.5923 34.7078 27.4899  6.959
  92.0  4.6097  4.6029 34.7106 27.4910  6.971
  93.0  4.6177  4.6108 34.7128 27.4919  6.975
  94.0  4.6183  4.6113 34.7138 27.4926  6.982
  95.0  4.6135  4.6065 34.7143 27.4935  6.984
  96.0  4.6048  4.5977 34.7147 27.4948  6.974
  97.0  4.5984  4.5912 34.7151 27.4958  6.952
  98.0  4.5928  4.5856 34.7156 27.4968  6.931
  99.0  4.5858  4.5785 34.7159 27.4979  6.921
 100.0  4.5677  4.5604 34.7161 27.5001  6.912
 101.0  4.5471  4.5397 34.7181 27.5040  6.905
 102.0  4.5432  4.5357 34.7206 27.5064  6.910
 103.0  4.5427  4.5351 34.7213 27.5070  6.910
 104.0  4.5363  4.5286 34.7210 27.5075  6.896
 105.0  4.5271  4.5194 34.7208 27.5084  6.892
 106.0  4.5185  4.5107 34.7217 27.5101  6.895
 107.0  4.5220  4.5142 34.7244 27.5118  6.894
 108.0  4.5112  4.5033 34.7243 27.5129  6.898
 109.0  4.4671  4.4591 34.7208 27.5149  6.902
 110.0  4.4346  4.4266 34.7195 27.5175  6.887
 111.0  4.4272  4.4191 34.7196 27.5184  6.870
 112.0  4.4262  4.4181 34.7196 27.5185  6.878
 113.0  4.4285  4.4203 34.7208 27.5192  6.900
 114.0  4.4333  4.4251 34.7225 27.5201  6.917
 115.0  4.4323  4.4239 34.7231 27.5207  6.926
 116.0  4.4229  4.4145 34.7228 27.5214  6.924
 117.0  4.4075  4.3990 34.7229 27.5232  6.913
 118.0  4.3939  4.3854 34.7235 27.5251  6.903
 119.0  4.3807  4.3721 34.7232 27.5264  6.904
 120.0  4.3648  4.3561 34.7225 27.5275  6.910
 121.0  4.3229  4.3142 34.7167 27.5275  6.914
 122.0  4.2030  4.1944 34.7078 27.5332  6.921
