Filename             = m851_095.cnv
Shipname             = Meteor
Cruise               = m85/1
Station              = 825
Profile              = 95
WaterDepth           = 3504
Date                 = 2011/07/26
Time                 = 00:03
Latitude             = 57 27.39 N
Longitude            = 051 09.11 W
Columns              = p:t:pt:s:sth:o
   0.0  8.1345  8.1345 34.5367 26.8898  6.963
   1.0  8.1345  8.1344 34.5367 26.8898  6.963
   2.0  8.1345  8.1343 34.5367 26.8898  6.963
   3.0  8.1345  8.1342 34.5367 26.8898  6.963
   4.0  8.1345  8.1341 34.5367 26.8898  6.963
   5.0  8.1345  8.1340 34.5367 26.8898  6.963
   6.0  8.1346  8.1340 34.5356 26.8890  6.962
   7.0  8.1347  8.1340 34.5321 26.8862  6.953
   8.0  8.1343  8.1335 34.5296 26.8844  6.958
   9.0  8.1339  8.1330 34.5274 26.8827  6.970
  10.0  8.1335  8.1325 34.5257 26.8814  6.973
  11.0  8.1336  8.1325 34.5248 26.8808  6.972
  12.0  8.1292  8.1280 34.5238 26.8806  6.972
  13.0  8.1123  8.1110 34.5227 26.8824  6.972
  14.0  8.0934  8.0920 34.5220 26.8846  6.967
  15.0  8.0855  8.0840 34.5213 26.8853  6.968
  16.0  8.0800  8.0784 34.5208 26.8857  6.969
  17.0  8.0692  8.0675 34.5207 26.8873  6.963
  18.0  8.0597  8.0579 34.5207 26.8887  6.960
  19.0  8.0549  8.0530 34.5205 26.8893  6.957
  20.0  8.0480  8.0460 34.5202 26.8902  6.958
  21.0  8.0370  8.0349 34.5198 26.8915  6.959
  22.0  8.0259  8.0237 34.5198 26.8931  6.957
  23.0  7.9982  7.9959 34.5192 26.8968  6.958
  24.0  7.9218  7.9194 34.5188 26.9079  6.962
  25.0  7.7529  7.7505 34.5231 26.9362  6.972
  26.0  7.5441  7.5416 34.5373 26.9777  6.974
  27.0  7.3681  7.3655 34.5595 27.0204  6.983
  28.0  7.2314  7.2288 34.5761 27.0529  6.992
  29.0  7.1462  7.1435 34.5830 27.0703  6.992
  30.0  7.0815  7.0788 34.5882 27.0834  6.995
  31.0  6.9844  6.9815 34.5916 27.0996  6.991
  32.0  6.7883  6.7854 34.5988 27.1321  6.997
  33.0  6.4604  6.4575 34.6250 27.1967  7.006
  34.0  5.9716  5.9687 34.6646 27.2912  7.002
  35.0  5.5105  5.5077 34.6908 27.3696  7.044
  36.0  5.2684  5.2656 34.7036 27.4090  7.085
  37.0  5.1127  5.1099 34.7146 27.4362  7.128
  38.0  4.9791  4.9762 34.7219 27.4576  7.179
  39.0  4.8821  4.8791 34.7251 27.4713  7.202
  40.0  4.7806  4.7776 34.7289 27.4859  7.227
  41.0  4.6931  4.6901 34.7331 27.4991  7.213
  42.0  4.6285  4.6254 34.7332 27.5064  7.208
  43.0  4.5471  4.5439 34.7352 27.5171  7.223
  44.0  4.4583  4.4551 34.7396 27.5304  7.230
  45.0  4.3834  4.3801 34.7446 27.5425  7.229
  46.0  4.3507  4.3474 34.7468 27.5478  7.231
  47.0  4.3232  4.3198 34.7464 27.5505  7.233
  48.0  4.2526  4.2492 34.7467 27.5583  7.221
  49.0  4.1838  4.1803 34.7464 27.5655  7.201
  50.0  4.1235  4.1200 34.7449 27.5707  7.182
  51.0  4.0590  4.0555 34.7455 27.5779  7.152
  52.0  4.0327  4.0291 34.7487 27.5832  7.122
  53.0  4.0341  4.0304 34.7514 27.5853  7.114
  54.0  4.0318  4.0280 34.7531 27.5868  7.117
  55.0  4.0033  3.9995 34.7534 27.5901  7.117
  56.0  3.9722  3.9683 34.7527 27.5928  7.106
  57.0  3.9632  3.9593 34.7524 27.5935  7.093
  58.0  3.9611  3.9571 34.7527 27.5939  7.093
  59.0  3.9599  3.9558 34.7533 27.5946  7.092
  60.0  3.9588  3.9546 34.7558 27.5966  7.084
  61.0  3.9473  3.9431 34.7578 27.5994  7.087
  62.0  3.9221  3.9179 34.7587 27.6027  7.080
  63.0  3.9064  3.9021 34.7595 27.6050  7.065
  64.0  3.9064  3.9020 34.7597 27.6052  7.056
  65.0  3.9020  3.8975 34.7596 27.6056  7.058
  66.0  3.8932  3.8887 34.7592 27.6062  7.061
  67.0  3.8695  3.8649 34.7572 27.6071  7.055
  68.0  3.8420  3.8374 34.7555 27.6085  7.052
  69.0  3.8360  3.8314 34.7554 27.6091  7.054
  70.0  3.8393  3.8345 34.7557 27.6090  7.058
  71.0  3.8430  3.8382 34.7561 27.6089  7.061
  72.0  3.8459  3.8410 34.7568 27.6091  7.063
  73.0  3.8463  3.8413 34.7576 27.6098  7.061
  74.0  3.8489  3.8439 34.7590 27.6106  7.056
  75.0  3.8577  3.8526 34.7623 27.6124  7.055
  76.0  3.8696  3.8645 34.7680 27.6157  7.056
  77.0  3.8765  3.8713 34.7729 27.6189  7.056
  78.0  3.8770  3.8717 34.7751 27.6206  7.049
  79.0  3.8703  3.8649 34.7760 27.6220  7.039
  80.0  3.8551  3.8496 34.7764 27.6239  7.034
  81.0  3.8466  3.8411 34.7768 27.6251  7.029
  82.0  3.8541  3.8486 34.7784 27.6256  7.021
  83.0  3.8633  3.8577 34.7814 27.6270  7.020
  84.0  3.8669  3.8611 34.7841 27.6288  7.025
  85.0  3.8704  3.8646 34.7865 27.6304  7.019
  86.0  3.8700  3.8641 34.7877 27.6314  7.018
  87.0  3.8685  3.8626 34.7887 27.6323  7.022
  88.0  3.8696  3.8636 34.7901 27.6334  7.018
  89.0  3.8718  3.8658 34.7920 27.6346  7.012
