 727  26  16 186.586845   795.3   4.0029  34.8991   3.9434  27.7119   6.465   6.481 2
 727  26  17 186.588435   722.8   4.0918  34.9039   4.0376  27.7058   6.393   6.438 2
 727  26  18 186.589893   604.1   4.2614  34.9029   4.2159  27.6861   6.294   6.298 2
 727  26  19 186.590983   499.8   4.6459  34.9283   4.6071  27.6634   6.058   6.050 2
 727  26  20 186.592086   398.9   5.1199  34.9332   5.0878  27.6121   5.641   5.606 2
 727  26  21 186.595303   209.9   5.4832  34.6919   5.4661  27.3757   6.551   6.462 2
 727  26  22 186.599205    12.8  10.7142  34.6148  10.7127  26.5271   6.313   6.546 3
 807  79   1 202.657665  3385.9   2.4983  34.9151   2.2182  27.8859   6.446   6.379 2
 807  79   2 202.659538  3249.2   2.6190  34.9250   2.3505  27.8828  -9.000   6.339 9
 807  79   3 202.661471  3098.6   2.7240  34.9353   2.4690  27.8809  -9.000   6.311 9
 807  79   4 202.663602  2898.8   2.8578  34.9474   2.6205  27.8775  -9.000   6.299 9
 807  79   5 202.666004  2698.9   2.9248  34.9464   2.7065  27.8690   6.373   6.304 2
 807  79   6 202.668383  2499.4   2.9961  34.9360   2.7963  27.8527   6.384   6.344 2
 807  79   7 202.670542  2299.2   3.0676  34.9228   2.8860  27.8340   6.413   6.362 2
 807  79   8 202.673267  2099.8   3.1478  34.9179   2.9838  27.8211   6.425   6.380 2
 807  79   9 202.675540  1899.0   3.2604  34.9126   3.1134  27.8048   6.451   6.371 2
 807  79  10 202.677668  1699.9   3.3959  34.9108   3.2651  27.7889   6.402   6.371 2
 807  79  11 202.680659  1508.1   3.5489  34.9106   3.4332  27.7726   6.395   6.346 2
 807  79  12 202.683077  1290.7   3.6028  34.8938   3.5054  27.7520   6.476   6.437 2
 807  79  13 202.684000  1199.5   3.5863  34.8828   3.4968  27.7441   6.529   6.554 2
 807  79  14 202.685015  1101.1   3.6014  34.8791   3.5199  27.7389   6.581   6.567 2
 807  79  15 202.686233   995.8   3.6614  34.8801   3.5881  27.7329   6.594   6.557 2
 807  79  16 202.687268   898.8   3.6866  34.8771   3.6209  27.7272   6.572   6.578 2
 807  79  17 202.688805   772.6   3.7329  34.8770   3.6769  27.7215   6.609   6.591 2
 807  79  18 202.690549   609.9   3.8740  34.8847   3.8299  27.7121   6.560   6.567 2
 807  79  19 202.691583   505.0   4.0043  34.8904   3.9676  27.7024   6.544   6.547 2
 807  79  20 202.692654   398.4   4.1519  34.8938   4.1228  27.6888   6.441   6.451 2
 807  79  21 202.694813   209.3   3.6766  34.7246   3.6625  27.6016   6.938   6.877 2
 807  79  22 202.697999    12.9   8.7647  34.5173   8.7634  26.7777   6.852   6.846 2
 811  82   1 203.542608  3541.3   1.9649  34.9009   1.6815  27.9172   6.789   6.813 2
 811  82   2 203.545549  3298.5   2.4172  34.9090   2.1483  27.8868  -9.000   6.560 9
 811  82   3 203.547838  3098.5   2.5693  34.9164   2.3178  27.8787  -9.000   6.487 9
 811  82   4 203.549919  2896.4   2.7342  34.9237   2.4999  27.8690  -9.000   6.476 9
 811  82   5 203.552219  2698.5   2.8543  34.9249   2.6375  27.8580  -9.000   6.486 9
 811  82   6 203.554520  2496.1   2.9757  34.9183   2.7767  27.8403  -9.000   6.493 9
 811  82   7 203.556602  2287.3   3.0870  34.9143   2.9063  27.8254   6.431   6.488 3
 811  82   8 203.559416  2098.3   3.1903  34.9113   3.0258  27.8119   6.472   6.486 2
 811  82   9 203.561702  1894.5   3.3176  34.9095   3.1702  27.7970   6.420   6.467 2
 811  82  10 203.563879  1687.8   3.4470  34.9102   3.3166  27.7836   6.395   6.435 2
