Filename             = m851_018.cnv
Shipname             = Meteor
Cruise               = m85/1
Station              = 711
Profile              = 18
WaterDepth           = 3385
Date                 = 2011/06/30
Time                 = 20:23
Latitude             = 47 37.13 N
Longitude            = 029 53.86 W
Columns              = p:t:pt:s:sth:o
 105.0 12.5951 12.5809 35.6824 27.0057  5.476
 106.0 12.5691 12.5548 35.6759 27.0059  5.477
 107.0 12.5522 12.5378 35.6730 27.0070  5.474
 108.0 12.5357 12.5212 35.6709 27.0087  5.472
 109.0 12.5228 12.5081 35.6691 27.0098  5.473
 110.0 12.5120 12.4972 35.6673 27.0106  5.472
 111.0 12.5017 12.4868 35.6652 27.0111  5.467
 112.0 12.4936 12.4786 35.6632 27.0111  5.464
 113.0 12.4896 12.4744 35.6615 27.0107  5.470
 114.0 12.4872 12.4719 35.6609 27.0107  5.486
 115.0 12.4817 12.4663 35.6610 27.0118  5.495
 116.0 12.4748 12.4592 35.6608 27.0131  5.494
 117.0 12.4631 12.4474 35.6606 27.0153  5.490
 118.0 12.4501 12.4343 35.6585 27.0162  5.493
 119.0 12.4438 12.4279 35.6557 27.0153  5.503
 120.0 12.4375 12.4214 35.6547 27.0158  5.515
 121.0 12.4269 12.4107 35.6536 27.0170  5.521
 122.0 12.4155 12.3992 35.6516 27.0177  5.518
 123.0 12.4026 12.3861 35.6509 27.0198  5.512
 124.0 12.3856 12.3690 35.6486 27.0213  5.513
 125.0 12.3717 12.3550 35.6458 27.0219  5.520
 126.0 12.3595 12.3427 35.6448 27.0236  5.523
 127.0 12.3497 12.3327 35.6426 27.0238  5.524
 128.0 12.3459 12.3288 35.6408 27.0232  5.531
 129.0 12.3415 12.3243 35.6407 27.0240  5.544
 130.0 12.3306 12.3132 35.6406 27.0261  5.547
 131.0 12.3176 12.3001 35.6390 27.0274  5.544
 132.0 12.3064 12.2888 35.6372 27.0282  5.545
 133.0 12.2939 12.2762 35.6349 27.0289  5.549
 134.0 12.2857 12.2679 35.6318 27.0281  5.546
 135.0 12.2823 12.2643 35.6309 27.0281  5.540
 136.0 12.2751 12.2570 35.6310 27.0296  5.537
 137.0 12.2648 12.2466 35.6306 27.0313  5.543
 138.0 12.2539 12.2356 35.6288 27.0321  5.558
 139.0 12.2410 12.2225 35.6268 27.0331  5.579
 140.0 12.2280 12.2094 35.6242 27.0336  5.600
 141.0 12.2128 12.1942 35.6211 27.0342  5.612
 142.0 12.1908 12.1720 35.6184 27.0364  5.621
 143.0 12.1624 12.1435 35.6130 27.0377  5.623
 144.0 12.1473 12.1283 35.6074 27.0363  5.619
 145.0 12.1468 12.1276 35.6058 27.0352  5.622
 146.0 12.1416 12.1224 35.6063 27.0366  5.629
 147.0 12.1330 12.1136 35.6048 27.0372  5.632
 148.0 12.1298 12.1103 35.6024 27.0359  5.626
 149.0 12.1284 12.1087 35.6014 27.0354  5.626
 150.0 12.1240 12.1042 35.6006 27.0357  5.636
 151.0 12.1216 12.1017 35.5999 27.0356  5.638
 152.0 12.1211 12.1011 35.5995 27.0354  5.637
 153.0 12.1209 12.1007 35.5992 27.0353  5.635
 154.0 12.1212 12.1009 35.5991 27.0352  5.629
 155.0 12.1213 12.1009 35.5992 27.0353  5.627
 156.0 12.1209 12.1003 35.5996 27.0356  5.629
 157.0 12.1188 12.0981 35.6000 27.0364  5.634
 158.0 12.1169 12.0960 35.5997 27.0366  5.640
 159.0 12.1162 12.0952 35.5995 27.0366  5.643
 160.0 12.1148 12.0937 35.5995 27.0369  5.645
 161.0 12.1113 12.0901 35.5996 27.0376  5.645
 162.0 12.1047 12.0834 35.5991 27.0385  5.642
 163.0 12.0968 12.0753 35.5977 27.0390  5.641
 164.0 12.0908 12.0692 35.5960 27.0389  5.647
 165.0 12.0874 12.0656 35.5950 27.0388  5.651
 166.0 12.0827 12.0608 35.5948 27.0396  5.654
 167.0 12.0780 12.0560 35.5940 27.0399  5.656
 168.0 12.0764 12.0542 35.5931 27.0395  5.656
 169.0 12.0757 12.0535 35.5930 27.0396  5.656
 170.0 12.0783 12.0559 35.5929 27.0390  5.653
 171.0 12.0858 12.0632 35.5942 27.0387  5.645
 172.0 12.0873 12.0647 35.5974 27.0408  5.633
 173.0 12.0784 12.0556 35.5977 27.0428  5.614
 174.0 12.0721 12.0492 35.5957 27.0425  5.587
 175.0 12.0696 12.0466 35.5954 27.0428  5.570
 176.0 12.0635 12.0404 35.5950 27.0437  5.571
 177.0 12.0578 12.0345 35.5939 27.0439  5.560
 178.0 12.0528 12.0294 35.5930 27.0442  5.542
 179.0 12.0462 12.0226 35.5925 27.0451  5.529
 180.0 12.0375 12.0139 35.5912 27.0458  5.523
 181.0 12.0309 12.0071 35.5891 27.0455  5.525
 182.0 12.0260 12.0021 35.5883 27.0458  5.529
 183.0 12.0177 11.9936 35.5882 27.0474  5.530
 184.0 12.0043 11.9801 35.5875 27.0495  5.536
 185.0 11.9925 11.9682 35.5845 27.0494  5.548
 186.0 11.9865 11.9621 35.5812 27.0480  5.572
 187.0 11.9838 11.9593 35.5799 27.0475  5.626
 188.0 11.9820 11.9574 35.5794 27.0475  5.669
 189.0 11.9774 11.9527 35.5797 27.0486  5.677
 190.0 11.9724 11.9475 35.5788 27.0490  5.677
 191.0 11.9684 11.9434 35.5776 27.0488  5.674
 192.0 11.9630 11.9378 35.5770 27.0494  5.678
 193.0 11.9581 11.9328 35.5754 27.0491  5.700
 194.0 11.9539 11.9285 35.5744 27.0492  5.737
 195.0 11.9489 11.9234 35.5736 27.0496  5.751
 196.0 11.9463 11.9207 35.5729 27.0495  5.742
 197.0 11.9452 11.9194 35.5729 27.0497  5.725
 198.0 11.9451 11.9192 35.5727 27.0496  5.704
 199.0 11.9466 11.9205 35.5728 27.0495  5.694
 200.0 11.9476 11.9214 35.5731 27.0495  5.699
 201.0 11.9486 11.9223 35.5733 27.0495  5.705
 202.0 11.9494 11.9230 35.5736 27.0496  5.706
 203.0 11.9495 11.9229 35.5739 27.0498  5.708
 204.0 11.9496 11.9229 35.5740 27.0499  5.711
 205.0 11.9501 11.9233 35.5740 27.0499  5.714
 206.0 11.9507 11.9237 35.5742 27.0500  5.719
 207.0 11.9510 11.9238 35.5744 27.0501  5.723
 208.0 11.9506 11.9234 35.5745 27.0502  5.722
 209.0 11.9497 11.9223 35.5745 27.0505  5.718
 210.0 11.9471 11.9196 35.5746 27.0510  5.716
 211.0 11.9443 11.9167 35.5741 27.0512  5.714
 212.0 11.9423 11.9146 35.5737 27.0513  5.706
 213.0 11.9384 11.9105 35.5738 27.0522  5.698
 214.0 11.9312 11.9032 35.5733 27.0531  5.694
 215.0 11.9248 11.8967 35.5718 27.0533  5.687
 216.0 11.9196 11.8913 35.5708 27.0535  5.683
 217.0 11.9151 11.8867 35.5699 27.0536  5.688
 218.0 11.9130 11.8845 35.5690 27.0534  5.698
 219.0 11.9121 11.8835 35.5686 27.0533  5.709
 220.0 11.9118 11.8831 35.5684 27.0532  5.706
 221.0 11.9116 11.8827 35.5683 27.0532  5.686
 222.0 11.9116 11.8826 35.5682 27.0532  5.674
 223.0 11.9115 11.8823 35.5681 27.0532  5.673
 224.0 11.9111 11.8818 35.5681 27.0532  5.674
 225.0 11.9101 11.8806 35.5681 27.0535  5.678
 226.0 11.9068 11.8772 35.5683 27.0543  5.678
 227.0 11.9024 11.8727 35.5679 27.0548  5.674
 228.0 11.8994 11.8696 35.5667 27.0545  5.664
 229.0 11.8945 11.8646 35.5666 27.0554  5.645
 230.0 11.8855 11.8555 35.5657 27.0564  5.628
 231.0 11.8787 11.8485 35.5636 27.0561  5.616
 232.0 11.8751 11.8449 35.5625 27.0559  5.599
 233.0 11.8717 11.8413 35.5618 27.0561  5.580
 234.0 11.8692 11.8387 35.5609 27.0558  5.574
 235.0 11.8669 11.8362 35.5604 27.0559  5.580
