Filename             = m851_082.cnv
Shipname             = Meteor
Cruise               = m85/1
Station              = 811
Profile              = 82
WaterDepth           = 3489
Date                 = 2011/07/22
Time                 = 11:52
Latitude             = 57 07.74 N
Longitude            = 043 40.70 W
Columns              = p:t:pt:s:sth:o
   0.0  7.9214  7.9214 34.5796 26.9554  7.017
   1.0  7.9214  7.9213 34.5796 26.9554  7.017
   2.0  7.9214  7.9212 34.5796 26.9554  7.017
   3.0  7.9214  7.9211 34.5796 26.9554  7.017
   4.0  7.9214  7.9210 34.5796 26.9554  7.017
   5.0  7.9214  7.9210 34.5796 26.9554  7.017
   6.0  7.9219  7.9213 34.5792 26.9550  7.013
   7.0  7.9232  7.9225 34.5772 26.9533  6.999
   8.0  7.9194  7.9186 34.5749 26.9521  6.999
   9.0  7.9120  7.9111 34.5715 26.9505  7.007
  10.0  7.9069  7.9060 34.5690 26.9494  7.010
  11.0  7.9061  7.9050 34.5676 26.9484  7.011
  12.0  7.9076  7.9064 34.5665 26.9473  7.009
  13.0  7.9075  7.9062 34.5660 26.9470  7.009
  14.0  7.9053  7.9039 34.5654 26.9468  7.016
  15.0  7.9017  7.9002 34.5651 26.9471  7.019
  16.0  7.8984  7.8968 34.5650 26.9476  7.014
  17.0  7.8963  7.8947 34.5647 26.9476  7.012
  18.0  7.8933  7.8916 34.5646 26.9480  7.015
  19.0  7.8879  7.8860 34.5649 26.9491  7.009
  20.0  7.8803  7.8783 34.5653 26.9505  7.014
  21.0  7.8540  7.8519 34.5667 26.9555  7.020
  22.0  7.7590  7.7568 34.5726 26.9741  7.030
  23.0  7.6513  7.6491 34.5798 26.9955  7.053
  24.0  7.5506  7.5483 34.5858 27.0149  7.058
  25.0  7.4436  7.4412 34.5920 27.0352  7.060
  26.0  7.3438  7.3414 34.5957 27.0524  7.076
  27.0  7.0895  7.0870 34.6083 27.0979  7.091
  28.0  6.7269  6.7244 34.6339 27.1680  7.087
  29.0  6.4794  6.4768 34.6519 27.2155  7.080
  30.0  6.2412  6.2386 34.6622 27.2549  7.122
