Filename             = m851_014.cnv
Shipname             = Meteor
Cruise               = m85/1
Station              = 706
Profile              = 14
WaterDepth           = 3530
Date                 = 2011/06/29
Time                 = 11:37
Latitude             = 47 47.90 N
Longitude            = 025 01.24 W
Columns              = p:t:pt:s:sth:o
   0.0 14.3199 14.3199 35.6819 26.6461  6.087
   1.0 14.3199 14.3198 35.6819 26.6461  6.087
   2.0 14.3199 14.3196 35.6819 26.6462  6.087
   3.0 14.3199 14.3195 35.6819 26.6462  6.087
   4.0 14.3199 14.3194 35.6819 26.6462  6.087
   5.0 14.3199 14.3192 35.6819 26.6462  6.087
   6.0 14.3217 14.3208 35.6812 26.6453  6.086
   7.0 14.3293 14.3283 35.6766 26.6402  6.083
   8.0 14.3350 14.3338 35.6723 26.6357  6.088
   9.0 14.3443 14.3430 35.6695 26.6315  6.092
  10.0 14.3497 14.3482 35.6674 26.6288  6.084
  11.0 14.3407 14.3391 35.6659 26.6296  6.079
  12.0 14.3198 14.3180 35.6644 26.6330  6.087
  13.0 14.2845 14.2826 35.6617 26.6385  6.097
  14.0 14.2629 14.2609 35.6595 26.6415  6.104
  15.0 14.2413 14.2391 35.6583 26.6452  6.106
  16.0 14.2159 14.2135 35.6570 26.6496  6.106
  17.0 14.2089 14.2064 35.6560 26.6504  6.110
  18.0 14.2020 14.1993 35.6555 26.6515  6.106
  19.0 14.1971 14.1944 35.6552 26.6523  6.100
  20.0 14.1912 14.1882 35.6549 26.6534  6.096
  21.0 14.1848 14.1817 35.6548 26.6548  6.084
  22.0 14.1803 14.1771 35.6548 26.6557  6.076
  23.0 14.1761 14.1728 35.6544 26.6564  6.076
  24.0 14.1730 14.1695 35.6541 26.6568  6.079
  25.0 14.1704 14.1667 35.6538 26.6571  6.080
  26.0 14.1686 14.1648 35.6536 26.6574  6.071
  27.0 14.1664 14.1624 35.6534 26.6578  6.064
  28.0 14.1640 14.1599 35.6532 26.6581  6.065
  29.0 14.1622 14.1579 35.6530 26.6584  6.060
  30.0 14.1600 14.1556 35.6528 26.6588  6.054
  31.0 14.1567 14.1522 35.6526 26.6593  6.051
  32.0 14.1532 14.1485 35.6522 26.6598  6.051
  33.0 14.1510 14.1462 35.6519 26.6600  6.048
  34.0 14.1476 14.1426 35.6516 26.6606  6.044
  35.0 14.1422 14.1371 35.6512 26.6615  6.045
  36.0 14.1391 14.1339 35.6509 26.6619  6.036
  37.0 14.1375 14.1321 35.6506 26.6621  6.028
  38.0 14.1359 14.1303 35.6504 26.6623  6.027
  39.0 14.1350 14.1293 35.6502 26.6623  6.025
  40.0 14.1337 14.1279 35.6500 26.6625  6.028
  41.0 14.1272 14.1212 35.6496 26.6636  6.031
  42.0 14.1099 14.1038 35.6487 26.6666  6.022
  43.0 14.0825 14.0763 35.6473 26.6714  6.010
  44.0 14.0566 14.0502 35.6458 26.6758  5.997
  45.0 14.0297 14.0232 35.6445 26.6805  5.987
  46.0 14.0063 13.9996 35.6434 26.6846  5.980
